game_id,participant_id,win,lose
248794554,5,1,0
249143298,9,0,1
249173874,4,0,1
249695811,3,1,0
250433492,5,1,0
250593128,4,1,0
250841290,3,0,1
250848804,3,1,0
250857783,1,1,0
250885057,10,0,1
250932676,4,0,1
250994468,3,0,1
251020374,2,0,1
251075812,10,0,1
251308751,7,0,1
251346611,1,0,1
251526830,4,1,0
251881538,6,1,0
251884067,10,0,1
252346386,10,0,1
252515900,4,0,1
253086630,4,0,1
253308487,10,0,1
253371887,5,0,1
253692348,10,0,1
253805864,6,1,0
253850963,10,1,0
254045007,5,0,1
254235905,6,1,0
254238293,10,0,1
254298165,1,1,0
254420176,10,1,0
254456704,10,1,0
254500203,5,1,0
254508082,2,0,1
254516681,8,0,1
254517244,10,1,0
254642813,7,0,1
254701266,5,0,1
254795327,9,1,0
254860037,6,1,0
255215272,2,0,1
255314975,8,0,1
255321410,6,1,0
258005768,3,1,0
258385703,5,0,1
260711378,6,0,1
261245816,2,1,0
262110830,6,1,0
263332817,6,1,0
265126968,3,0,1
